         93968 function calls (91362 primitive calls) in 33.048 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
       54    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
       99    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
       38    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        2    0.000    0.000    0.000    0.000 core.py:2970(__array_finalize__)
       59    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        1    0.000    0.000    0.004    0.004 platform.py:3(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       29    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:202(_add_array_type)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:59(<genexpr>)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3119(view)
       62    0.000    0.000    0.000    0.000 argparse.py:1324(_registry_get)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       24    0.000    0.000    0.000    0.000 argparse.py:898(__init__)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1500(_array_str_implementation)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       48    0.000    0.000    0.000    0.000 re.py:270(escape)
       11    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
       14    0.000    0.000    0.000    0.000 hashlib.py:123(__get_openssl_constructor)
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        8    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:73(_add_types)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:5984(refer_to_array_attribute)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
      123    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       78    0.000    0.000    0.000    0.000 _internal.py:791(<genexpr>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
